group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neuroectoderm 1,nectin2,30.592762,4.392662,1.527723099744649e-205,3.333644575952799e-201,0.9889937106918238,0.5034106412005457
Neuroectoderm 1,spint2,27.8984,3.494224,2.790033376496298e-171,2.0293772769508573e-167,0.9748427672955975,0.5075034106412005
Neuroectoderm 1,plpp3,27.73083,4.7807016,2.9677766863935936e-169,1.6189963768448651e-165,0.9323899371069182,0.2933151432469304
Neuroectoderm 1,phldb3,27.520697,5.8876247,9.927245495771616e-167,4.3324484792646485e-163,0.8867924528301887,0.12687585266030013
Neuroectoderm 1,epcam,27.493694,2.3489275,2.088530484332031e-166,7.595637283101541e-163,0.9984276729559748,0.9045020463847203
Neuroectoderm 1,tjp3,27.384928,5.44213,4.146719778407578e-165,1.2926510326375965e-161,0.8867924528301887,0.1377899045020464
Neuroectoderm 1,ocln,27.30282,2.9564116,3.92682913376093e-164,1.0710917315974657e-160,0.9779874213836478,0.660300136425648
Neuroectoderm 1,rabgap1l,27.192614,5.269993,7.941856604768787e-163,1.9255472552517745e-159,0.8930817610062893,0.17598908594815826
Neuroectoderm 1,rassf7,27.086931,5.6687245,1.4036369608833244e-161,3.0628762123435023e-158,0.8742138364779874,0.0791268758526603
Neuroectoderm 1,dcbld1,27.07247,3.5221875,2.0775771236097935e-161,4.121346401299028e-158,0.9449685534591195,0.5320600272851296
Neuroectoderm 1,epas1,26.691479,4.724119,5.911075027575041e-157,9.976644598445143e-154,0.9276729559748428,0.5252387448840382
Neuroectoderm 1,atp1b2,26.527334,5.310527,4.690720860672476e-155,7.311158564338149e-152,0.8647798742138365,0.12824010914051842
Neuroectoderm 1,hpgd,25.854172,4.6750255,2.1840038662464132e-147,3.1771432243575325e-144,0.860062893081761,0.208731241473397
Neuroectoderm 1,LOC100494753,25.29992,4.6055713,3.200740093632122e-141,4.3652093489466584e-138,0.8789308176100629,0.34652114597544337
Neuroectoderm 1,kifc3,24.869581,5.8107853,1.5880298020599272e-136,2.038376371220569e-133,0.8034591194968553,0.061391541609822645
Neuroectoderm 1,palm2,24.781033,4.0072284,1.435787800945873e-135,1.7405736446911052e-132,0.8647798742138365,0.23192360163710776
Neuroectoderm 1,LOC100495222,24.693787,3.4286935,1.2471954252521673e-134,1.4323711249698706e-131,0.9182389937106918,0.5375170532060027
Neuroectoderm 1,gramd2b,24.390512,4.548604,2.156353359211612e-131,2.352689332567829e-128,0.8223270440251572,0.2305593451568895
Neuroectoderm 1,prss27,24.07045,5.041061,5.099436693135849e-128,5.298800384805589e-125,0.7940251572327044,0.10641200545702592
Neuroectoderm 1,arhgap45,23.853258,3.5143268,9.367949536199317e-126,9.291728492245695e-123,0.8726415094339622,0.39836289222373805
Neuroectoderm 1,upk2,23.464315,6.289354,9.442766387622555e-122,8.585441889346323e-119,0.7531446540880503,0.0504774897680764
Neuroectoderm 1,adap1l,23.400028,4.2177024,4.270708586327279e-121,3.727645282489902e-118,0.809748427672956,0.21691678035470668
Neuroectoderm 1,psd3,23.115467,2.2627409,3.2364911285458525e-118,2.716287419846117e-115,0.9339622641509434,0.7080491132332879
Neuroectoderm 1,astl2d.1,23.0971,5.2086706,4.951501265131417e-118,4.001729966904913e-115,0.7814465408805031,0.15961800818553887
Neuroectoderm 1,upk3b,23.047615,5.6152687,1.5541588209062614e-117,1.2111892725355546e-114,0.7484276729559748,0.06684856753069578
Neuroectoderm 2,col18a1,29.983202,4.5917726,1.6250556853551758e-197,1.7730170055067646e-193,0.9822646657571623,0.6383647798742138
Neuroectoderm 2,gse1,26.691273,2.8583703,5.943649685155899e-157,9.976644598445143e-154,0.9427012278308322,0.6179245283018868
Neuroectoderm 2,LOC100170590,23.576097,4.274512,6.779825230349502e-123,6.432285493541587e-120,0.8076398362892224,0.10377358490566038
Neuroectoderm 2,nhs,22.312428,3.0659268,2.7988249558329935e-110,1.5268289840307938e-107,0.8553888130968622,0.45754716981132076
Neuroectoderm 2,fat1,21.702593,1.4441966,1.939118984287472e-104,9.616708035485665e-102,0.9781718963165075,0.940251572327044
Neuroectoderm 2,ctnnd2,21.35066,2.8330278,3.84468836192425e-101,1.7849988243733844e-98,0.8512960436562074,0.4308176100628931
Neuroectoderm 2,smad6,21.275202,2.8094108,1.9268189962404246e-100,8.759399441033813e-98,0.8403819918144612,0.28144654088050314
Neuroectoderm 2,ptgs2,20.376282,2.3988154,2.715147183345455e-92,1.039425029610196e-89,0.9154160982264665,0.5566037735849056
Neuroectoderm 2,tox3,19.843344,2.3643587,1.2580486855261322e-87,4.223366210287036e-85,0.8663028649386084,0.4716981132075472
Neuroectoderm 2,cyyr1,19.768845,2.4896696,5.522523226171684e-87,1.8258633230044293e-84,0.844474761255116,0.4638364779874214
Neuroectoderm 2,phldb1,19.731493,2.0362346,1.1570155672775166e-86,3.7682442826212967e-84,0.9208731241473397,0.6069182389937107
Neuroectoderm 2,kpna2,19.714771,3.004093,1.6104504875933405e-86,5.167888248496218e-84,0.7421555252387448,0.21855345911949686
Neuroectoderm 2,ssbp4,19.647469,3.396884,6.0769624039692706e-86,1.8676816424931472e-83,0.7312414733969986,0.2248427672955975
Neuroectoderm 2,fign,19.051546,2.1637404,6.379012498329364e-81,1.7399553965755632e-78,0.8908594815825375,0.710691823899371
Neuroectoderm 2,arhgef2,18.60839,1.5684875,2.747439495981265e-77,7.311204541683803e-75,0.8963165075034106,0.7216981132075472
Neuroectoderm 2,gli3,18.499487,1.9351586,2.0844767096191035e-76,5.414924557214102e-74,0.8512960436562074,0.7059748427672956
Neuroectoderm 2,rcor1,18.000612,2.0469623,1.926763904789284e-72,4.777717632546247e-70,0.8335607094133697,0.49528301886792453
Neuroectoderm 2,gldc,17.894999,2.092933,1.2900087104945013e-71,3.0933274804066503e-69,0.8676671214188267,0.5094339622641509
Neuroectoderm 2,dhx32,17.838455,2.569986,3.5538112108135933e-71,8.429099394691677e-69,0.7407912687585266,0.2610062893081761
Neuroectoderm 2,arhgap21,17.734419,1.1397372,2.2743900951190395e-70,5.224154343746586e-68,0.946793997271487,0.89937106918239
Neuroectoderm 2,lrp2,17.726467,2.7219403,2.619852428936739e-70,5.954979151232144e-68,0.7735334242837654,0.3757861635220126
Neuroectoderm 2,lamc1,17.497282,2.3283627,1.5026872456531913e-68,3.3804266378761117e-66,0.7503410641200545,0.36792452830188677
Neuroectoderm 2,tenm4,17.494473,1.6649951,1.5786620639040045e-68,3.5151004996376814e-66,0.922237380627558,0.7861635220125787
Neuroectoderm 2,bsg,17.346846,1.4912841,2.08375151035395e-67,4.546954170743354e-65,0.9590723055934516,0.7971698113207547
Neuroectoderm 2,ptprd,17.132738,4.603824,8.45773987358714e-66,1.7745802094379325e-63,0.582537517053206,0.08333333333333333
